EMC Compliance Report
Generated Date,2025-07-24 11:32:34

Peak Analysis Results
Rank,Frequency (MHz),Amplitude (dBuV)
1,544.585,115.76
2,272.985,115.12
3,981.085,115.09
4,736.645,115.06
5,432.550,114.45
6,365.620,114.45
7,903.970,114.40
8,986.905,114.26
9,958.290,114.16
10,872.930,114.14
11,451.465,114.08
12,329.245,113.91
13,932.100,113.87
14,551.860,113.79
15,778.840,113.78
16,750.710,113.78
17,943.740,113.69
18,530.520,113.68
19,487.355,113.51
20,802.605,113.38

Compliance Check Results
Frequency (MHz),Measured (dBuV),Limit (dBuV),Margin (dB),Compliant
919.005,112.12,100.0,12.12,FAIL
647.405,112.12,100.0,12.12,FAIL
948.590,112.12,100.0,12.12,FAIL
889.420,112.08,100.0,12.08,FAIL
243.400,112.07,100.0,12.07,FAIL
978.175,112.02,100.0,12.02,FAIL
360.285,111.93,100.0,11.93,FAIL
501.420,111.92,100.0,11.92,FAIL
589.690,111.91,100.0,11.91,FAIL
235.640,111.90,100.0,11.90,FAIL
929.675,111.88,100.0,11.88,FAIL
307.420,111.80,100.0,11.80,FAIL
531.975,111.78,100.0,11.78,FAIL
121.180,111.78,100.0,11.78,FAIL
128.455,111.73,100.0,11.73,FAIL
692.510,111.71,100.0,11.71,FAIL
496.085,111.64,100.0,11.64,FAIL
610.545,111.60,100.0,11.60,FAIL
223.030,111.59,100.0,11.59,FAIL
798.240,111.58,100.0,11.58,FAIL
140.095,111.54,100.0,11.54,FAIL
891.845,111.53,100.0,11.53,FAIL
682.325,111.50,100.0,11.50,FAIL
252.615,111.48,100.0,11.48,FAIL
876.325,111.46,100.0,11.46,FAIL
553.315,111.41,100.0,11.41,FAIL
402.965,111.41,100.0,11.41,FAIL
353.495,111.40,100.0,11.40,FAIL
868.565,111.37,100.0,11.37,FAIL
882.145,111.37,100.0,11.37,FAIL
938.890,111.35,100.0,11.35,FAIL
352.040,111.34,100.0,11.34,FAIL
291.415,111.32,100.0,11.32,FAIL
664.380,111.32,100.0,11.32,FAIL
834.615,111.30,100.0,11.30,FAIL
623.640,111.29,100.0,11.29,FAIL
378.715,111.27,100.0,11.27,FAIL
689.115,111.26,100.0,11.26,FAIL
492.205,111.26,100.0,11.26,FAIL
412.180,111.24,100.0,11.24,FAIL
777.385,111.24,100.0,11.24,FAIL
443.220,111.19,100.0,11.19,FAIL
167.740,111.19,100.0,11.19,FAIL
515.485,111.16,100.0,11.16,FAIL
369.985,111.15,100.0,11.15,FAIL
873.900,111.13,100.0,11.13,FAIL
883.115,111.11,100.0,11.11,FAIL
862.260,111.11,100.0,11.11,FAIL
718.215,111.09,100.0,11.09,FAIL
563.500,111.09,100.0,11.09,FAIL
469.895,111.09,100.0,11.09,FAIL
972.840,111.07,100.0,11.07,FAIL
854.985,111.07,100.0,11.07,FAIL
825.400,111.03,100.0,11.03,FAIL
804.060,111.01,100.0,11.01,FAIL
660.500,111.00,100.0,11.00,FAIL
459.225,111.00,100.0,11.00,FAIL
781.265,110.99,100.0,10.99,FAIL
43.580,110.99,100.0,10.99,FAIL
442.250,110.98,100.0,10.98,FAIL
858.865,110.98,100.0,10.98,FAIL
574.170,110.94,100.0,10.94,FAIL
678.930,110.94,100.0,10.94,FAIL
176.470,110.88,100.0,10.88,FAIL
721.125,110.85,100.0,10.85,FAIL
151.735,110.84,100.0,10.84,FAIL
681.355,110.81,100.0,10.81,FAIL
856.440,110.80,100.0,10.80,FAIL
395.690,110.78,100.0,10.78,FAIL
543.130,110.76,100.0,10.76,FAIL
525.185,110.75,100.0,10.75,FAIL
267.165,110.74,100.0,10.74,FAIL
902.030,110.74,100.0,10.74,FAIL
795.330,110.73,100.0,10.73,FAIL
475.715,110.72,100.0,10.72,FAIL
560.105,110.71,100.0,10.71,FAIL
507.240,110.71,100.0,10.71,FAIL
705.120,110.70,100.0,10.70,FAIL
616.365,110.68,100.0,10.68,FAIL
342.340,110.67,100.0,10.67,FAIL
823.460,110.67,100.0,10.67,FAIL
35.820,110.67,100.0,10.67,FAIL
119.240,110.65,100.0,10.65,FAIL
949.560,110.65,100.0,10.65,FAIL
648.375,110.64,100.0,10.64,FAIL
657.590,110.64,100.0,10.64,FAIL
665.350,110.63,100.0,10.63,FAIL
337.005,110.61,100.0,10.61,FAIL
490.265,110.60,100.0,10.60,FAIL
801.635,110.59,100.0,10.59,FAIL
157.555,110.56,100.0,10.56,FAIL
212.360,110.53,100.0,10.53,FAIL
169.680,110.51,100.0,10.51,FAIL
440.795,110.49,100.0,10.49,FAIL
770.595,110.49,100.0,10.49,FAIL
791.935,110.49,100.0,10.49,FAIL
416.060,110.47,100.0,10.47,FAIL
78.985,110.46,100.0,10.46,FAIL
207.995,110.45,100.0,10.45,FAIL
580.475,110.45,100.0,10.45,FAIL
572.230,110.42,100.0,10.42,FAIL
654.680,110.42,100.0,10.42,FAIL
928.705,110.39,100.0,10.39,FAIL
413.635,110.39,100.0,10.39,FAIL
165.315,110.38,100.0,10.38,FAIL
927.735,110.38,100.0,10.38,FAIL
625.095,110.36,100.0,10.36,FAIL
916.095,110.35,100.0,10.35,FAIL
816.185,110.34,100.0,10.34,FAIL
511.120,110.34,100.0,10.34,FAIL
62.010,110.34,100.0,10.34,FAIL
708.030,110.32,100.0,10.32,FAIL
863.715,110.32,100.0,10.32,FAIL
292.385,110.30,100.0,10.30,FAIL
403.935,110.29,100.0,10.29,FAIL
959.745,110.28,100.0,10.28,FAIL
746.830,110.28,100.0,10.28,FAIL
224.970,110.27,100.0,10.27,FAIL
392.295,110.26,100.0,10.26,FAIL
263.285,110.26,100.0,10.26,FAIL
398.600,110.25,100.0,10.25,FAIL
466.015,110.24,100.0,10.24,FAIL
749.255,110.23,100.0,10.23,FAIL
405.390,110.22,100.0,10.22,FAIL
363.195,110.22,100.0,10.22,FAIL
753.620,110.21,100.0,10.21,FAIL
288.020,110.20,100.0,10.20,FAIL
837.525,110.20,100.0,10.20,FAIL
173.075,110.18,100.0,10.18,FAIL
144.945,110.18,100.0,10.18,FAIL
695.420,110.17,100.0,10.17,FAIL
270.560,110.16,100.0,10.16,FAIL
535.855,110.15,100.0,10.15,FAIL
505.300,110.15,100.0,10.15,FAIL
741.980,110.13,100.0,10.13,FAIL
481.535,110.11,100.0,10.11,FAIL
55.220,110.11,100.0,10.11,FAIL
417.030,110.10,100.0,10.10,FAIL
394.235,110.09,100.0,10.09,FAIL
191.505,110.04,100.0,10.04,FAIL
197.810,110.01,100.0,10.01,FAIL
920.945,110.01,100.0,10.01,FAIL
296.265,109.98,100.0,9.98,FAIL
775.930,109.92,100.0,9.92,FAIL
126.030,109.92,100.0,9.92,FAIL
712.395,109.90,100.0,9.90,FAIL
333.610,109.89,100.0,9.89,FAIL
89.170,109.88,100.0,9.88,FAIL
355.435,109.87,100.0,9.87,FAIL
940.345,109.87,100.0,9.87,FAIL
351.070,109.86,100.0,9.86,FAIL
410.725,109.85,100.0,9.85,FAIL
954.410,109.85,100.0,9.85,FAIL
70.740,109.84,100.0,9.84,FAIL
593.085,109.83,100.0,9.83,FAIL
426.730,109.83,100.0,9.83,FAIL
829.765,109.82,100.0,9.82,FAIL
221.575,109.80,100.0,9.80,FAIL
671.655,109.79,100.0,9.79,FAIL
969.930,109.77,100.0,9.77,FAIL
491.235,109.77,100.0,9.77,FAIL
254.555,109.76,100.0,9.76,FAIL
612.000,109.75,100.0,9.75,FAIL
752.650,109.75,100.0,9.75,FAIL
890.390,109.75,100.0,9.75,FAIL
626.065,109.75,100.0,9.75,FAIL
211.390,109.71,100.0,9.71,FAIL
201.205,109.70,100.0,9.70,FAIL
280.260,109.69,100.0,9.69,FAIL
262.315,109.69,100.0,9.69,FAIL
827.825,109.68,100.0,9.68,FAIL
258.435,109.67,100.0,9.67,FAIL
819.095,109.66,100.0,9.66,FAIL
989.330,109.66,100.0,9.66,FAIL
728.400,109.64,100.0,9.64,FAIL
638.190,109.64,100.0,9.64,FAIL
915.125,109.63,100.0,9.63,FAIL
401.510,109.63,100.0,9.63,FAIL
188.110,109.63,100.0,9.63,FAIL
471.835,109.62,100.0,9.62,FAIL
467.955,109.59,100.0,9.59,FAIL
474.260,109.57,100.0,9.57,FAIL
653.225,109.56,100.0,9.56,FAIL
594.540,109.55,100.0,9.55,FAIL
805.515,109.54,100.0,9.54,FAIL
521.790,109.53,100.0,9.53,FAIL
81.895,109.51,100.0,9.51,FAIL
703.180,109.50,100.0,9.50,FAIL
974.780,109.48,100.0,9.48,FAIL
246.310,109.48,100.0,9.48,FAIL
886.510,109.47,100.0,9.47,FAIL
177.440,109.47,100.0,9.47,FAIL
698.815,109.47,100.0,9.47,FAIL
590.660,109.46,100.0,9.46,FAIL
596.480,109.45,100.0,9.45,FAIL
203.145,109.43,100.0,9.43,FAIL
672.625,109.42,100.0,9.42,FAIL
603.755,109.41,100.0,9.41,FAIL
637.220,109.40,100.0,9.40,FAIL
765.260,109.40,100.0,9.40,FAIL
919.975,109.39,100.0,9.39,FAIL
839.465,109.39,100.0,9.39,FAIL
279.290,109.33,100.0,9.33,FAIL
300.630,109.32,100.0,9.32,FAIL
772.050,109.32,100.0,9.32,FAIL
310.815,109.31,100.0,9.31,FAIL
302.570,109.31,100.0,9.31,FAIL
256.495,109.29,100.0,9.29,FAIL
899.605,109.26,100.0,9.26,FAIL
449.525,109.25,100.0,9.25,FAIL
894.270,109.25,100.0,9.25,FAIL
36.790,109.24,100.0,9.24,FAIL
774.475,109.23,100.0,9.23,FAIL
910.760,109.21,100.0,9.21,FAIL
613.455,109.18,100.0,9.18,FAIL
709.970,109.18,100.0,9.18,FAIL
145.915,109.17,100.0,9.17,FAIL
800.180,109.17,100.0,9.17,FAIL
759.925,109.16,100.0,9.16,FAIL
340.400,109.16,100.0,9.16,FAIL
95.960,109.15,100.0,9.15,FAIL
643.040,109.15,100.0,9.15,FAIL
111.965,109.13,100.0,9.13,FAIL
675.535,109.13,100.0,9.13,FAIL
537.795,109.12,100.0,9.12,FAIL
997.575,109.12,100.0,9.12,FAIL
181.805,109.12,100.0,9.12,FAIL
214.785,109.12,100.0,9.12,FAIL
558.165,109.11,100.0,9.11,FAIL
713.850,109.10,100.0,9.10,FAIL
109.055,109.09,100.0,9.09,FAIL
52.310,109.08,100.0,9.08,FAIL
961.200,109.07,100.0,9.07,FAIL
312.755,109.06,100.0,9.06,FAIL
456.800,109.06,100.0,9.06,FAIL
266.195,109.04,100.0,9.04,FAIL
397.630,109.04,100.0,9.04,FAIL
548.465,109.04,100.0,9.04,FAIL
494.630,109.04,100.0,9.04,FAIL
600.845,109.04,100.0,9.04,FAIL
706.575,108.95,100.0,8.95,FAIL
709.000,108.94,100.0,8.94,FAIL
748.285,108.94,100.0,8.94,FAIL
717.245,108.92,100.0,8.92,FAIL
498.995,108.91,100.0,8.91,FAIL
509.180,108.91,100.0,8.91,FAIL
575.625,108.91,100.0,8.91,FAIL
532.945,108.90,100.0,8.90,FAIL
696.390,108.88,100.0,8.88,FAIL
880.205,108.88,100.0,8.88,FAIL
821.035,108.83,100.0,8.83,FAIL
851.105,108.83,100.0,8.83,FAIL
666.805,108.82,100.0,8.82,FAIL
850.135,108.80,100.0,8.80,FAIL
371.925,108.79,100.0,8.79,FAIL
251.160,108.79,100.0,8.79,FAIL
309.845,108.77,100.0,8.77,FAIL
926.765,108.77,100.0,8.77,FAIL
345.250,108.77,100.0,8.77,FAIL
349.615,108.77,100.0,8.77,FAIL
555.255,108.75,100.0,8.75,FAIL
32.425,108.72,100.0,8.72,FAIL
924.825,108.71,100.0,8.71,FAIL
108.085,108.68,100.0,8.68,FAIL
400.055,108.67,100.0,8.67,FAIL
67.830,108.65,100.0,8.65,FAIL
293.355,108.64,100.0,8.64,FAIL
581.445,108.63,100.0,8.63,FAIL
991.270,108.62,100.0,8.62,FAIL
247.280,108.61,100.0,8.61,FAIL
229.335,108.60,100.0,8.60,FAIL
649.345,108.59,100.0,8.59,FAIL
241.460,108.58,100.0,8.58,FAIL
318.575,108.58,100.0,8.58,FAIL
380.170,108.58,100.0,8.58,FAIL
716.275,108.58,100.0,8.58,FAIL
644.495,108.57,100.0,8.57,FAIL
614.910,108.57,100.0,8.57,FAIL
453.405,108.56,100.0,8.56,FAIL
219.150,108.56,100.0,8.56,FAIL
458.255,108.56,100.0,8.56,FAIL
196.355,108.55,100.0,8.55,FAIL
745.860,108.53,100.0,8.53,FAIL
842.860,108.51,100.0,8.51,FAIL
239.035,108.51,100.0,8.51,FAIL
185.685,108.51,100.0,8.51,FAIL
907.850,108.50,100.0,8.50,FAIL
674.080,108.49,100.0,8.49,FAIL
238.065,108.48,100.0,8.48,FAIL
723.065,108.47,100.0,8.47,FAIL
348.160,108.46,100.0,8.46,FAIL
178.410,108.45,100.0,8.45,FAIL
875.355,108.45,100.0,8.45,FAIL
621.700,108.45,100.0,8.45,FAIL
632.370,108.44,100.0,8.44,FAIL
983.995,108.42,100.0,8.42,FAIL
996.120,108.40,100.0,8.40,FAIL
370.955,108.40,100.0,8.40,FAIL
430.610,108.39,100.0,8.39,FAIL
373.865,108.39,100.0,8.39,FAIL
661.955,108.37,100.0,8.37,FAIL
730.825,108.37,100.0,8.37,FAIL
407.330,108.36,100.0,8.36,FAIL
914.155,108.33,100.0,8.33,FAIL
619.760,108.32,100.0,8.32,FAIL
473.290,108.32,100.0,8.32,FAIL
634.795,108.31,100.0,8.31,FAIL
163.375,108.28,100.0,8.28,FAIL
435.945,108.28,100.0,8.28,FAIL
941.800,108.27,100.0,8.27,FAIL
452.435,108.27,100.0,8.27,FAIL
651.285,108.24,100.0,8.24,FAIL
272.015,108.24,100.0,8.24,FAIL
194.900,108.23,100.0,8.23,FAIL
636.250,108.22,100.0,8.22,FAIL
277.350,108.21,100.0,8.21,FAIL
688.145,108.20,100.0,8.20,FAIL
503.845,108.19,100.0,8.19,FAIL
454.375,108.18,100.0,8.18,FAIL
77.530,108.17,100.0,8.17,FAIL
387.930,108.17,100.0,8.17,FAIL
382.595,108.17,100.0,8.17,FAIL
844.800,108.15,100.0,8.15,FAIL
962.170,108.10,100.0,8.10,FAIL
787.570,108.09,100.0,8.09,FAIL
39.700,108.09,100.0,8.09,FAIL
966.050,108.06,100.0,8.06,FAIL
159.495,108.05,100.0,8.05,FAIL
906.395,108.05,100.0,8.05,FAIL
786.115,108.03,100.0,8.03,FAIL
444.675,108.02,100.0,8.02,FAIL
193.445,108.01,100.0,8.01,FAIL
131.850,108.00,100.0,8.00,FAIL
734.705,107.99,100.0,7.99,FAIL
934.525,107.96,100.0,7.96,FAIL
249.705,107.96,100.0,7.96,FAIL
965.080,107.96,100.0,7.96,FAIL
849.165,107.91,100.0,7.91,FAIL
677.475,107.91,100.0,7.91,FAIL
785.145,107.91,100.0,7.91,FAIL
479.595,107.88,100.0,7.88,FAIL
545.555,107.88,100.0,7.88,FAIL
538.765,107.86,100.0,7.86,FAIL
517.910,107.82,100.0,7.82,FAIL
523.245,107.80,100.0,7.80,FAIL
567.380,107.79,100.0,7.79,FAIL
933.070,107.77,100.0,7.77,FAIL
860.320,107.72,100.0,7.72,FAIL
331.185,107.71,100.0,7.71,FAIL
656.620,107.71,100.0,7.71,FAIL
602.785,107.67,100.0,7.67,FAIL
480.565,107.64,100.0,7.64,FAIL
755.560,107.64,100.0,7.64,FAIL
106.630,107.63,100.0,7.63,FAIL
956.350,107.63,100.0,7.63,FAIL
122.635,107.60,100.0,7.60,FAIL
406.360,107.58,100.0,7.58,FAIL
47.460,107.55,100.0,7.55,FAIL
617.335,107.55,100.0,7.55,FAIL
368.530,107.54,100.0,7.54,FAIL
358.345,107.54,100.0,7.54,FAIL
744.405,107.53,100.0,7.53,FAIL
606.665,107.53,100.0,7.53,FAIL
115.360,107.52,100.0,7.52,FAIL
604.725,107.50,100.0,7.50,FAIL
100.810,107.47,100.0,7.47,FAIL
810.365,107.47,100.0,7.47,FAIL
227.395,107.46,100.0,7.46,FAIL
639.645,107.45,100.0,7.45,FAIL
792.905,107.42,100.0,7.42,FAIL
815.215,107.42,100.0,7.42,FAIL
143.975,107.34,100.0,7.34,FAIL
597.935,107.32,100.0,7.32,FAIL
98.385,107.32,100.0,7.32,FAIL
797.270,107.30,100.0,7.30,FAIL
831.220,107.28,100.0,7.28,FAIL
579.505,107.27,100.0,7.27,FAIL
419.940,107.27,100.0,7.27,FAIL
335.550,107.26,100.0,7.26,FAIL
980.115,107.25,100.0,7.25,FAIL
683.295,107.25,100.0,7.25,FAIL
304.510,107.24,100.0,7.24,FAIL
888.450,107.21,100.0,7.21,FAIL
330.215,107.19,100.0,7.19,FAIL
985.935,107.18,100.0,7.18,FAIL
135.730,107.13,100.0,7.13,FAIL
427.700,107.13,100.0,7.13,FAIL
50.370,107.12,100.0,7.12,FAIL
117.785,107.12,100.0,7.12,FAIL
447.100,107.11,100.0,7.11,FAIL
375.805,107.10,100.0,7.10,FAIL
569.805,107.07,100.0,7.07,FAIL
192.475,107.06,100.0,7.06,FAIL
189.080,107.02,100.0,7.02,FAIL
641.585,106.98,100.0,6.98,FAIL
917.550,106.98,100.0,6.98,FAIL
343.310,106.98,100.0,6.98,FAIL
729.855,106.97,100.0,6.97,FAIL
46.005,106.95,100.0,6.95,FAIL
691.540,106.93,100.0,6.93,FAIL
160.950,106.92,100.0,6.92,FAIL
389.385,106.90,100.0,6.90,FAIL
761.865,106.86,100.0,6.86,FAIL
386.475,106.83,100.0,6.83,FAIL
618.790,106.80,100.0,6.80,FAIL
599.875,106.78,100.0,6.78,FAIL
75.590,106.75,100.0,6.75,FAIL
384.535,106.75,100.0,6.75,FAIL
976.720,106.74,100.0,6.74,FAIL
726.945,106.72,100.0,6.72,FAIL
684.265,106.71,100.0,6.71,FAIL
152.705,106.71,100.0,6.71,FAIL
513.545,106.71,100.0,6.71,FAIL
421.395,106.68,100.0,6.68,FAIL
234.670,106.68,100.0,6.68,FAIL
587.265,106.67,100.0,6.67,FAIL
630.915,106.66,100.0,6.66,FAIL
281.230,106.63,100.0,6.63,FAIL
367.560,106.63,100.0,6.63,FAIL
326.820,106.62,100.0,6.62,FAIL
228.365,106.62,100.0,6.62,FAIL
74.135,106.61,100.0,6.61,FAIL
838.495,106.61,100.0,6.61,FAIL
822.490,106.60,100.0,6.60,FAIL
260.375,106.59,100.0,6.59,FAIL
817.640,106.58,100.0,6.58,FAIL
908.820,106.57,100.0,6.57,FAIL
116.815,106.55,100.0,6.55,FAIL
303.540,106.52,100.0,6.52,FAIL
773.020,106.51,100.0,6.51,FAIL
231.275,106.49,100.0,6.49,FAIL
550.890,106.47,100.0,6.47,FAIL
424.790,106.46,100.0,6.46,FAIL
364.650,106.45,100.0,6.45,FAIL
64.435,106.43,100.0,6.43,FAIL
484.445,106.41,100.0,6.41,FAIL
877.780,106.40,100.0,6.40,FAIL
685.235,106.40,100.0,6.40,FAIL
925.795,106.38,100.0,6.38,FAIL
175.500,106.37,100.0,6.37,FAIL
72.195,106.33,100.0,6.33,FAIL
314.210,106.31,100.0,6.31,FAIL
295.295,106.30,100.0,6.30,FAIL
909.790,106.29,100.0,6.29,FAIL
305.480,106.28,100.0,6.28,FAIL
209.450,106.28,100.0,6.28,FAIL
812.305,106.27,100.0,6.27,FAIL
60.070,106.20,100.0,6.20,FAIL
465.045,106.18,100.0,6.18,FAIL
547.010,106.17,100.0,6.17,FAIL
568.350,106.16,100.0,6.16,FAIL
686.205,106.16,100.0,6.16,FAIL
607.635,106.14,100.0,6.14,FAIL
460.680,106.11,100.0,6.11,FAIL
446.130,106.10,100.0,6.10,FAIL
332.640,106.09,100.0,6.09,FAIL
120.210,106.04,100.0,6.04,FAIL
769.140,106.03,100.0,6.03,FAIL
768.170,106.02,100.0,6.02,FAIL
516.940,105.98,100.0,5.98,FAIL
466.985,105.94,100.0,5.94,FAIL
669.715,105.94,100.0,5.94,FAIL
710.940,105.90,100.0,5.90,FAIL
179.865,105.86,100.0,5.86,FAIL
65.405,105.83,100.0,5.83,FAIL
431.580,105.83,100.0,5.83,FAIL
486.385,105.82,100.0,5.82,FAIL
627.035,105.82,100.0,5.82,FAIL
885.540,105.78,100.0,5.78,FAIL
738.100,105.74,100.0,5.74,FAIL
205.085,105.73,100.0,5.73,FAIL
758.955,105.72,100.0,5.72,FAIL
743.435,105.72,100.0,5.72,FAIL
338.460,105.72,100.0,5.72,FAIL
298.205,105.69,100.0,5.69,FAIL
762.835,105.67,100.0,5.67,FAIL
206.055,105.61,100.0,5.61,FAIL
62.980,105.60,100.0,5.60,FAIL
79.955,105.59,100.0,5.59,FAIL
86.260,105.59,100.0,5.59,FAIL
97.415,105.52,100.0,5.52,FAIL
242.430,105.51,100.0,5.51,FAIL
82.865,105.49,100.0,5.49,FAIL
609.090,105.46,100.0,5.46,FAIL
429.640,105.46,100.0,5.46,FAIL
952.955,105.43,100.0,5.43,FAIL
808.910,105.40,100.0,5.40,FAIL
994.665,105.38,100.0,5.38,FAIL
38.245,105.37,100.0,5.37,FAIL
790.480,105.37,100.0,5.37,FAIL
578.535,105.35,100.0,5.35,FAIL
559.135,105.34,100.0,5.34,FAIL
565.925,105.29,100.0,5.29,FAIL
34.365,105.28,100.0,5.28,FAIL
852.075,105.28,100.0,5.28,FAIL
322.940,105.28,100.0,5.28,FAIL
659.530,105.23,100.0,5.23,FAIL
134.275,105.23,100.0,5.23,FAIL
571.260,105.22,100.0,5.22,FAIL
439.825,105.22,100.0,5.22,FAIL
301.600,105.15,100.0,5.15,FAIL
901.060,105.10,100.0,5.10,FAIL
667.775,105.09,100.0,5.09,FAIL
284.625,105.04,100.0,5.04,FAIL
904.940,105.00,100.0,5.00,FAIL
164.345,104.98,100.0,4.98,FAIL
687.175,104.96,100.0,4.96,FAIL
233.700,104.95,100.0,4.95,FAIL
240.005,104.92,100.0,4.92,FAIL
274.925,104.88,100.0,4.88,FAIL
895.725,104.82,100.0,4.82,FAIL
54.250,104.81,100.0,4.81,FAIL
248.250,104.76,100.0,4.76,FAIL
541.190,104.73,100.0,4.73,FAIL
156.100,104.68,100.0,4.68,FAIL
362.225,104.64,100.0,4.64,FAIL
137.185,104.62,100.0,4.62,FAIL
740.040,104.43,100.0,4.43,FAIL
269.590,104.40,100.0,4.40,FAIL
857.410,104.33,100.0,4.33,FAIL
520.820,104.33,100.0,4.33,FAIL
104.690,104.27,100.0,4.27,FAIL
866.140,104.27,100.0,4.27,FAIL
139.125,104.24,100.0,4.24,FAIL
629.460,104.19,100.0,4.19,FAIL
259.405,104.18,100.0,4.18,FAIL
757.015,104.13,100.0,4.13,FAIL
390.355,104.11,100.0,4.11,FAIL
147.370,104.09,100.0,4.09,FAIL
719.670,104.08,100.0,4.08,FAIL
984.965,104.07,100.0,4.07,FAIL
174.530,104.01,100.0,4.01,FAIL
408.785,103.97,100.0,3.97,FAIL
813.760,103.90,100.0,3.90,FAIL
434.490,103.83,100.0,3.83,FAIL
497.540,103.56,100.0,3.56,FAIL
592.115,103.55,100.0,3.55,FAIL
275.895,103.50,100.0,3.50,FAIL
148.340,103.47,100.0,3.47,FAIL
527.125,103.41,100.0,3.41,FAIL
418.485,103.37,100.0,3.37,FAIL
57.645,103.35,100.0,3.35,FAIL
836.070,103.34,100.0,3.34,FAIL
142.035,103.31,100.0,3.31,FAIL
90.625,103.28,100.0,3.28,FAIL
84.320,103.17,100.0,3.17,FAIL
540.220,103.16,100.0,3.16,FAIL
224.000,103.14,100.0,3.14,FAIL
912.215,103.10,100.0,3.10,FAIL
161.920,103.02,100.0,3.02,FAIL
534.400,103.01,100.0,3.01,FAIL
751.680,102.97,100.0,2.97,FAIL
41.640,102.90,100.0,2.90,FAIL
935.495,102.87,100.0,2.87,FAIL
320.030,102.87,100.0,2.87,FAIL
171.620,102.86,100.0,2.86,FAIL
31.455,102.70,100.0,2.70,FAIL
833.160,102.60,100.0,2.60,FAIL
190.050,102.59,100.0,2.59,FAIL
153.675,102.56,100.0,2.56,FAIL
724.520,102.56,100.0,2.56,FAIL
690.570,102.51,100.0,2.51,FAIL
217.695,102.38,100.0,2.38,FAIL
422.850,102.32,100.0,2.32,FAIL
103.235,102.25,100.0,2.25,FAIL
69.770,102.18,100.0,2.18,FAIL
93.050,102.05,100.0,2.05,FAIL
577.080,101.99,100.0,1.99,FAIL
124.575,101.98,100.0,1.98,FAIL
68.800,101.97,100.0,1.97,FAIL
896.695,101.96,100.0,1.96,FAIL
897.665,101.92,100.0,1.92,FAIL
680.385,101.89,100.0,1.89,FAIL
